Umag,Ts,Ta,alphan,sigmat,theta,phi,panang,Cd
7.612515000000000327e+03,3.827721000000000231e+02,1.469071999999999889e+03,5.634873000000000243e-01,3.886980999999999908e-01,-1.043703999999999965e+00,-1.248215000000000074e+00,5.000000000000000000e+01,3.625977999999999923e+00
7.944525999999999840e+03,2.579268000000000143e+02,5.338143999999999778e+02,1.061703999999999981e-01,5.444930999999999521e-01,1.600297999999999998e+00,-8.302421000000000106e-02,8.000000000000000000e+01,2.987785000000000135e+00
8.986211999999997715e+03,3.557115000000000009e+02,1.629730999999999995e+03,6.103760999999999770e-01,6.043990999999999669e-01,-9.931585000000000552e-01,-6.183745000000000491e-01,6.000000000000000000e+01,2.649198000000000164e+00
5.627140000000000327e+03,1.935540000000000020e+02,1.911367999999999938e+03,7.721421000000000534e-01,3.367611999999999828e-01,9.441928000000000543e-01,-1.381076999999999999e-01,6.000000000000000000e+01,2.049131000000000036e+00
6.179112000000000080e+03,2.157356000000000051e+02,1.132166999999999916e+03,2.430643000000000109e-01,1.856862999999999986e-01,1.550572000000000061e+00,8.491210999999998510e-01,5.000000000000000000e+01,2.307974000000000192e+00
7.811649999999998727e+03,2.549224000000000103e+02,8.660240000000000009e+02,8.838464000000000043e-02,7.066664999999999752e-01,-2.044754000000000016e-01,-8.027796000000000376e-01,2.000000000000000000e+01,2.960088999999999970e+00
6.928860999999999876e+03,3.947853000000000065e+02,8.644301000000000386e+02,7.795222000000000540e-01,5.073487000000000136e-02,-1.060141000000000000e+00,-7.508995000000000530e-01,2.000000000000000000e+01,1.530999999999999917e+00
5.896579999999999927e+03,3.790106999999999857e+02,7.104460000000000264e+02,7.868595000000000450e-01,5.576674999999999827e-01,-5.438617999999999508e-01,-4.083240000000000203e-01,5.000000000000000000e+01,2.294738999999999862e+00
6.975877999999999702e+03,1.886826000000000079e+02,1.305161000000000058e+03,7.537036000000000291e-01,4.128509000000000206e-01,1.361102999999999896e-01,-8.221640000000000059e-01,2.000000000000000000e+01,2.202459000000000167e+00
7.958829999999999927e+03,3.992069999999999936e+02,1.667010999999999967e+03,1.504491000000000023e-01,2.973106999999999833e-01,-1.381965000000000110e+00,4.291813999999999907e-01,6.000000000000000000e+01,2.338604999999999823e+00
5.593381999999999607e+03,1.949668000000000063e+02,7.261929999999999836e+02,3.598317999999999794e-01,6.494596000000000258e-01,1.505457000000000045e+00,5.165258999999999823e-01,5.000000000000000000e+01,2.483928000000000136e+00
6.203479999999999563e+03,3.101780999999999722e+02,1.021173000000000002e+03,2.614630000000000010e-01,2.829048000000000118e-01,-2.178316000000000141e+00,5.643498000000000125e-01,3.000000000000000000e+01,2.882854000000000028e+00
7.351305999999998676e+03,3.573987999999999943e+02,1.224923000000000002e+03,1.589218000000000020e-01,9.974298999999999804e-01,3.084816000000000003e+00,7.442161999999999944e-01,3.000000000000000000e+01,5.603048000000000251e+00
7.103122999999999593e+03,4.417033999999999878e+02,5.433962999999999965e+02,5.743395000000000028e-01,6.089993999999999685e-01,2.560639999999999805e+00,-1.362430000000000030e+00,2.000000000000000000e+01,1.477476000000000012e+00
8.647184999999997672e+03,2.271936000000000035e+02,3.487644999999999982e+02,3.595135999999999887e-01,8.168606999999999951e-02,7.712969999999998161e-02,7.437276999999999916e-01,4.000000000000000000e+01,1.300947999999999993e+00
8.576809999999997672e+03,1.392091000000000065e+02,6.845967000000000553e+02,4.511913000000000173e-01,8.229750999999998484e-01,1.595672999999999897e+00,-1.289641000000000037e+00,1.000000000000000000e+01,2.130856000000000083e+00
9.188013999999999214e+03,4.370271999999999935e+02,4.302325000000000159e+02,2.027403999999999873e-01,5.019403999999999533e-01,-1.311077000000000048e+00,-1.370241999999999960e+00,9.000000000000000000e+01,5.784919000000000366e+00
8.382789000000000669e+03,4.428399999999999750e+02,9.861079999999999472e+02,2.288760999999999990e-01,3.051865999999999746e-01,-2.600194999999999812e+00,-6.102611999999999481e-01,0.000000000000000000e+00,2.090500000000000025e+00
8.370361999999999171e+03,2.709886000000000195e+02,7.146630000000000109e+02,2.196437999999999863e-02,1.572367000000000070e-01,1.130495999999999945e+00,-7.966085000000000527e-01,7.000000000000000000e+01,3.139689000000000174e+00
6.208984999999999673e+03,3.528729999999999905e+02,1.379352000000000089e+03,3.659823999999999855e-01,6.058447000000000138e-01,1.401988999999999930e+00,-1.098651999999999962e+00,1.000000000000000000e+01,2.091174999999999784e+00
6.586667999999999665e+03,1.033832000000000022e+02,1.734521999999999935e+03,7.413231999999998489e-01,9.300133999999999831e-03,-5.336298999999999904e-01,8.117980000000000196e-01,8.000000000000000000e+01,1.389145999999999992e+00
7.049913999999999760e+03,4.356922000000000139e+02,3.890022000000000162e+02,2.175891000000000075e-01,3.968331999999999971e-01,1.134481999999999990e-01,1.096993000000000107e+00,9.000000000000000000e+01,2.812269999999999825e+00
6.107600999999999658e+03,3.383990000000000009e+02,1.726913000000000011e+03,1.232112999999999958e-01,7.068284999999999707e-01,-2.098942999999999781e+00,-7.492989999999997985e-03,7.000000000000000000e+01,2.891086000000000045e+00
9.037602000000000771e+03,3.002896999999999821e+02,2.539233000000000118e+02,5.768240000000000034e-01,9.515259999999999829e-01,1.766019000000000005e+00,-1.209019999999999984e+00,3.000000000000000000e+01,2.766912000000000038e+00
7.537347999999999956e+03,1.274084000000000003e+02,1.875681000000000040e+03,4.528683000000000014e-02,2.381390999999999925e-01,-2.450454999999999828e+00,8.866557000000000466e-01,7.000000000000000000e+01,4.147225999999999857e+00
9.283915000000000873e+03,4.003192000000000235e+02,4.238740999999999985e+02,8.636741999999998365e-01,2.528479000000000143e-01,1.310097000000000067e+00,-3.934707999999999956e-02,6.000000000000000000e+01,1.920892000000000044e+00
5.806350000000000364e+03,2.897445999999999913e+02,9.065262000000000171e+02,2.553817999999999921e-01,9.448176000000000352e-01,2.532391000000000059e+00,-7.362608000000000485e-01,4.000000000000000000e+01,1.384589000000000070e+00
9.206968000000000757e+03,3.927837999999999852e+02,4.483059000000000083e+02,7.046687999999999841e-01,7.493870000000000253e-01,-3.046175999999999995e+00,7.011589000000000016e-02,6.000000000000000000e+01,2.544970000000000176e+00
6.088434000000000196e+03,2.411996000000000038e+02,1.132780999999999949e+03,4.274748999999999910e-01,8.067256000000000427e-01,1.660676000000000097e-01,-3.946794000000000135e-01,4.000000000000000000e+01,3.025253000000000192e+00
7.392197000000000116e+03,4.151267000000000280e+02,8.996159999999999854e+02,9.452302999999999678e-01,8.400992000000000459e-01,5.960900000000000087e-01,-1.145466000000000095e+00,4.000000000000000000e+01,2.428907000000000149e+00
6.603368999999999687e+03,1.878248000000000104e+02,2.933387000000000171e+02,6.083587000000000300e-01,4.056417999999999968e-01,2.043972000000000122e+00,-1.170477999999999907e+00,7.000000000000000000e+01,3.197560000000000180e+00
8.958914000000000669e+03,2.240380999999999858e+02,1.467786000000000058e+03,3.458834000000000075e-01,8.194436999999999971e-01,2.558968999999999827e+00,-1.456302999999999903e-01,7.000000000000000000e+01,2.145964999999999900e+00
8.703255999999997584e+03,2.804057999999999993e+02,1.062701999999999998e+03,3.172452000000000050e-01,4.813338999999999812e-01,-1.210237999999999925e+00,-1.228199999999999986e-01,5.000000000000000000e+01,2.533688999999999858e+00
5.732595999999999549e+03,1.200284999999999940e+02,1.427082000000000107e+03,9.407965999999999829e-01,9.769419000000000020e-02,-1.619588999999999945e+00,-2.208917999999999993e-01,1.000000000000000000e+01,1.667192999999999925e+00
5.826947000000000116e+03,2.157862000000000080e+02,5.776752000000000180e+02,8.612838999999999912e-01,9.420249000000000539e-01,-1.540996000000000032e+00,-1.587910999999999906e-01,5.000000000000000000e+01,2.527749000000000024e+00
6.078707999999999629e+03,1.376949999999999932e+02,1.324137999999999920e+03,5.063914000000000470e-01,2.500760000000000205e-01,1.442727000000000093e+00,1.478676000000000101e+00,5.000000000000000000e+01,3.608941999999999872e+00
5.751942000000000007e+03,3.214209999999999923e+02,6.344563000000000557e+02,9.275841000000000225e-01,9.997985000000000344e-01,2.191838999999999871e+00,-1.221036999999999928e+00,3.000000000000000000e+01,1.988447999999999993e+00
7.382533000000000357e+03,1.775321000000000140e+02,1.083092000000000098e+03,6.673725000000000351e-01,7.834750999999998688e-01,-2.503749000000000002e+00,-3.441883000000000026e-01,0.000000000000000000e+00,2.490057000000000187e+00
5.519653000000000247e+03,3.997977000000000203e+02,1.796615999999999985e+03,9.471254999999999535e-01,4.430599000000000065e-01,4.835350999999999955e-01,5.008434000000000497e-01,2.000000000000000000e+01,1.605194000000000010e+00
5.902194999999999709e+03,2.975018000000000029e+02,1.601326000000000022e+03,6.337863999999999720e-01,2.432722999999999969e-01,3.102354000000000056e+00,8.738158000000000314e-01,2.000000000000000000e+01,3.340978999999999921e+00
8.206272000000000844e+03,2.471998000000000104e+02,1.458451999999999998e+03,2.883260000000000267e-01,9.272198999999999858e-01,-2.791069999999999940e+00,-2.431137999999999910e-01,3.000000000000000000e+01,2.421399000000000079e+00
7.910538999999998850e+03,3.853659999999999854e+02,1.024756000000000085e+03,8.168923999999998520e-01,2.418278000000000094e-01,8.654343999999999926e-02,9.498505000000000420e-01,3.000000000000000000e+01,1.292543999999999915e+00
8.186586000000000240e+03,2.820011999999999830e+02,1.740890000000000100e+03,1.256323000000000023e-01,2.670713000000000115e-01,-1.093990999999999936e+00,-6.074386000000000507e-01,5.000000000000000000e+01,2.613414000000000126e+00
6.548975999999999658e+03,4.412583999999999946e+02,1.888627999999999929e+03,5.360645000000000548e-01,2.523774999999999769e-01,2.709537999999999780e+00,-5.316771000000000136e-01,5.000000000000000000e+01,8.266360999999999848e-01
9.480364999999999782e+03,4.900339000000000169e+02,1.818659000000000106e+03,8.828506999999999882e-01,3.469338000000000144e-01,7.319472999999998564e-01,-1.159866000000000064e+00,5.000000000000000000e+01,2.543171000000000070e+00
6.025114999999999782e+03,4.536293999999999755e+02,6.711857999999999720e+02,7.629740999999999884e-01,9.376664999999999583e-01,-7.931762999999998343e-01,-5.288049000000000222e-01,5.000000000000000000e+01,2.738687999999999789e+00
6.538176999999999680e+03,4.612798000000000229e+02,1.761412000000000035e+03,1.721467999999999887e-01,9.415322000000000413e-01,1.136795000000000000e+00,1.022534000000000054e+00,6.000000000000000000e+01,3.526825999999999794e+00
7.368532000000000153e+03,1.254022999999999968e+02,1.517454999999999927e+03,6.350204999999999878e-01,6.817803999999999531e-01,2.857755000000000045e+00,-1.112778999999999963e+00,8.000000000000000000e+01,2.297464000000000173e+00
5.919923999999999978e+03,4.097896999999999821e+02,5.076154000000000224e+02,6.414855000000000418e-01,1.897128999999999899e-01,1.245792000000000010e+00,2.631088999999999789e-01,8.000000000000000000e+01,2.103587999999999791e+00
6.601988000000000284e+03,1.248906000000000063e+02,1.662848999999999933e+03,3.496697999999999751e-01,6.727233000000000240e-01,1.149027000000000021e+00,-2.800865000000000160e-01,6.000000000000000000e+01,2.636298000000000030e+00
7.389097999999999956e+03,3.314352999999999838e+02,1.493624000000000024e+03,2.546783000000000241e-01,5.994646000000000141e-01,8.114525000000000210e-01,-4.182734000000000174e-01,0.000000000000000000e+00,2.444382000000000055e+00
9.087468999999999141e+03,2.839701999999999771e+02,1.888414999999999964e+03,8.727912000000000170e-02,6.768075999999999537e-01,-3.168783000000000016e-01,4.988994999999999957e-01,3.000000000000000000e+01,2.300936000000000092e+00
5.837716999999999643e+03,1.394775999999999954e+02,8.816856999999999971e+02,9.388558999999999655e-01,9.538326000000000304e-01,-1.739557999999999938e-01,-1.222657000000000105e+00,8.000000000000000000e+01,2.430930000000000035e+00
